model,split,accuracy_clear,accuracy_incolumn,accuracy_leftof,accuracy_on,accuracy_rightof,clear_error,incolumn_error,leftof_error,on_error,rightof_error
InternVL3-78B,simple,0.98,0.99,1.0,1.0,1.0,0.015555555555555562,0.005527707983925669,0.0,0.0,0.0
InternVL3-78B,medium,1.0,0.98,1.0,0.98,1.0,0.0,0.004320493798938575,0.0,0.004320493798938575,0.0
InternVL3-78B,hard,0.99,0.98,1.0,0.95,1.0,0.0051587695457159626,0.00362933093155649,0.0,0.004613172661755516,0.0
InternVL3-8B,simple,0.77,0.98,0.99,0.82,0.99,0.03841657628333547,0.006390096504226941,0.00393303318063807,0.02024845673131659,0.00393303318063807
InternVL3-8B,medium,0.73,0.95,0.99,0.8,0.99,0.03179259710638989,0.006979824404521131,0.0031865100272627676,0.01281025230440697,0.0031865100272627676
InternVL3-8B,hard,0.61,0.96,1.0,0.71,1.0,0.026374495921016563,0.005298129428260178,0.0,0.01001704200871138,0.0
Mistral-Small-3.1-24B-Instruct-2503,simple,0.96,0.96,1.0,0.95,1.0,0.016865480854231365,0.008432740427115682,0.0,0.010829771494232187,0.0
Mistral-Small-3.1-24B-Instruct-2503,medium,0.9,0.95,1.0,0.88,1.0,0.024096579867074964,0.00782881361258813,0.0,0.011672962970734082,0.0
Mistral-Small-3.1-24B-Instruct-2503,hard,0.87,0.97,1.0,0.87,1.0,0.02390004437678142,0.006061552956332583,0.0,0.009757152258831477,0.0
Molmo-7B-D-0924,simple,0.28,0.83,0.78,0.93,0.71,0.05184592558726288,0.02168716978615083,0.020712315177207976,0.01700980109623076,0.022688102609076857
Molmo-7B-D-0924,medium,0.37,0.87,0.76,0.8,0.64,0.043183330117071796,0.013452137376640189,0.017083325203250097,0.015999999999999997,0.0192
Molmo-7B-D-0924,hard,0.49,0.8,0.69,0.81,0.61,0.040816663263917106,0.01632993161855452,0.023124662159694356,0.01307669683062202,0.024387496796514398
Phi-4-multimodal-instruct,simple,0.09,0.12,0.04,0.19,0.04,0.03304542328371661,0.01876166303929372,0.009797958971132711,0.026153393661244043,0.009797958971132711
Phi-4-multimodal-instruct,medium,0.12,0.29,0.03,0.26,0.05,0.029065443399335922,0.018150482087261482,0.006823488843692792,0.017545369759569048,0.008717797887081347
Phi-4-multimodal-instruct,hard,0.11,0.35,0.06,0.22,0.05,0.025547341675146294,0.019472202409246537,0.011874342087037916,0.013808210118138653,0.010897247358851683
Qwen2.5-VL-72B-Instruct,simple,0.92,0.92,1.0,0.97,1.0,0.027265992434429065,0.013632996217214532,0.0,0.009898474527915807,0.0
Qwen2.5-VL-72B-Instruct,medium,0.95,0.98,1.0,0.98,1.0,0.015411035007422448,0.0044271887242357325,0.0,0.0044271887242357325,0.0
Qwen2.5-VL-72B-Instruct,hard,0.93,0.94,1.0,0.94,1.0,0.015703213336476996,0.007308152359460697,0.0,0.005967081414398553,0.0
Qwen2.5-VL-7B-Instruct,simple,0.78,0.98,1.0,0.95,1.0,0.04366539438350084,0.007378647873726222,0.0,0.013263707095903698,0.0
Qwen2.5-VL-7B-Instruct,medium,0.72,0.95,1.0,0.77,1.0,0.032573802841838216,0.007071067811865478,0.0,0.013653609509268196,0.0
Qwen2.5-VL-7B-Instruct,hard,0.76,0.97,1.0,0.77,1.0,0.021300970477506,0.00425405864150615,0.0,0.00856881228332912,0.0
aya-vision-32b,simple,0.73,0.78,1.0,0.74,0.98,0.03456219689987103,0.0161245154965971,0.0,0.019715143131280297,0.004719399037242697
aya-vision-32b,medium,0.69,0.8,1.0,0.66,0.98,0.02133322251744268,0.008251369970070347,0.0,0.009771865825016615,0.002887979489524623
aya-vision-32b,hard,0.53,0.84,1.0,0.65,0.96,0.02263959894364779,0.00831479419283098,0.0,0.008832770383490238,0.005443310539518176
aya-vision-8b,simple,0.52,0.58,0.46,0.85,0.3,0.057688820407423826,0.028495613697550014,0.024919871588754226,0.02380476142847617,0.0229128784747792
aya-vision-8b,medium,0.45,0.58,0.44,0.8,0.33,0.04541475531146238,0.020149441679609883,0.020264912204760885,0.01632993161855452,0.019196353820452466
aya-vision-8b,hard,0.53,0.65,0.43,0.76,0.34,0.04075127809856602,0.019472202409246537,0.024753787588973127,0.014236104336041748,0.02368543856465402
deepseek-vl2,simple,0.71,0.96,0.92,0.77,0.96,0.03224746486003187,0.006963106238227916,0.008348471099367217,0.017266966964355614,0.0060302268915552746
deepseek-vl2,medium,0.64,0.87,0.91,0.74,0.94,0.026225201505991346,0.008217200743544087,0.006992533331208346,0.010717540372762355,0.0058027270994804505
deepseek-vl2,hard,0.6,0.95,0.94,0.76,0.96,0.025,0.0055609782562663105,0.007421463804398701,0.008897565210026093,0.006123724356957948
gemma-3-12b-it,simple,0.83,0.88,0.97,0.84,0.99,0.03067028964106252,0.0132664991614216,0.006031169040907412,0.017281975195754296,0.0035178118198675736
gemma-3-12b-it,medium,0.68,0.92,0.95,0.81,0.98,0.04014787481115099,0.010442080110640647,0.008388704928078614,0.015099668870541497,0.005388602512436509
gemma-3-12b-it,hard,0.72,0.91,0.94,0.81,0.99,0.03292219567012406,0.010491932384517653,0.010663473984558454,0.011743220418882188,0.004467625478859531
gemma-3-27b-it,simple,0.86,0.94,1.0,0.89,1.0,0.03293455153307366,0.011270626736212461,0.0,0.01714625305989603,0.0
gemma-3-27b-it,medium,0.8,0.95,0.99,0.83,1.0,0.02271847336988259,0.00553580719410662,0.002527270617522697,0.009541082646351836,0.0
gemma-3-27b-it,hard,0.84,0.94,1.0,0.84,1.0,0.018149704259460605,0.0058786753209725566,0.0,0.007409585736349485,0.0
