model,split,accuracy_clear,accuracy_incolumn,accuracy_leftof,accuracy_on,accuracy_rightof,clear_error,incolumn_error,leftof_error,on_error,rightof_error
InternVL3-78B,simple,1.0,0.99,1.0,1.0,1.0,0.0,0.0056330071214910835,0.0,0.0,0.0
InternVL3-78B,medium,0.99,1.0,1.0,0.98,0.98,0.00799193141499197,0.0,0.0,0.005028948456749699,0.005028948456749699
InternVL3-78B,hard,0.96,0.99,1.0,0.96,0.99,0.010000000000000004,0.0025387620014487387,0.0,0.0040824829046386315,0.003109335740958189
InternVL3-8B,simple,0.73,0.97,1.0,0.93,1.0,0.03365647962413264,0.006466091928482478,0.0,0.011167481527997297,0.0
InternVL3-8B,medium,0.66,0.95,1.0,0.92,1.0,0.03026414326140654,0.006226998490772393,0.0,0.007751234266428876,0.0
InternVL3-8B,hard,0.58,0.97,1.0,0.88,0.99,0.02692582403567252,0.004653147935998353,0.0,0.007237468644557459,0.0033240197266046954
Mistral-Small-3.1-24B-Instruct-2503,simple,0.89,0.98,1.0,0.99,1.0,0.034139071318303175,0.007637626158259737,0.0,0.00626783170528009,0.0
Mistral-Small-3.1-24B-Instruct-2503,medium,0.72,0.96,0.98,0.95,0.99,0.040159681273635624,0.007838367176906173,0.0056000000000000025,0.00871779788708135,0.003979949748426481
Mistral-Small-3.1-24B-Instruct-2503,hard,0.75,0.98,1.0,0.94,0.99,0.034020690871988585,0.005499719409228706,0.0,0.0076173940004456075,0.0047871355387816925
Molmo-7B-D-0924,simple,0.77,0.98,0.95,0.88,0.97,0.0244191788620399,0.004061811972299618,0.00547607283893976,0.010886621079036348,0.004286165199944134
Molmo-7B-D-0924,medium,0.81,0.97,0.96,0.86,0.97,0.013300246303138068,0.002586436771392991,0.002971125410832831,0.0052610037939104575,0.002586436771392991
Molmo-7B-D-0924,hard,0.77,0.95,0.96,0.88,0.92,0.011662825788647625,0.0030200304166279382,0.003325643972842161,0.0036766377480747757,0.0046041455973967246
Phi-4-multimodal-instruct,simple,0.44,0.96,1.0,0.77,1.0,0.04914963147888094,0.009701425001453323,0.0,0.02405739324895032,0.0
Phi-4-multimodal-instruct,medium,0.36,0.97,1.0,0.71,1.0,0.03794733192202055,0.006031169040907412,0.0,0.016042911207134445,0.0
Phi-4-multimodal-instruct,hard,0.54,0.95,1.0,0.64,1.0,0.031028868778516863,0.006784329869850505,0.0,0.012199885626608373,0.0
Qwen2.5-VL-72B-Instruct,simple,0.95,0.95,1.0,0.98,1.0,0.023779743280283556,0.011889871640141778,0.0,0.008819171036881972,0.0
Qwen2.5-VL-72B-Instruct,medium,0.97,0.97,1.0,0.98,1.0,0.013928388277184124,0.006228964600958978,0.0,0.0051120772033815525,0.0
Qwen2.5-VL-72B-Instruct,hard,0.94,0.96,1.0,0.96,1.0,0.016388149028228563,0.006761234037828135,0.0,0.0055205244747388365,0.0
Qwen2.5-VL-7B-Instruct,simple,0.95,1.0,0.98,1.0,0.99,0.024677405839641238,0.0,0.006864064729836444,0.0,0.004878327266909934
Qwen2.5-VL-7B-Instruct,medium,0.87,0.98,0.98,0.98,0.97,0.025422150072047688,0.004732863826479695,0.004732863826479695,0.004732863826479695,0.005766900628339532
Qwen2.5-VL-7B-Instruct,hard,0.83,0.97,0.9,0.96,0.94,0.02898069965306139,0.006580544918817245,0.01417366773784602,0.006172133998483679,0.01122019862314644
aya-vision-32b,simple,0.7,0.77,1.0,0.69,1.0,0.03281650616569468,0.015068220931857949,0.0,0.019121742222952008,0.0
aya-vision-32b,medium,0.74,0.76,0.98,0.57,1.0,0.021403159535340527,0.00931971796017148,0.0030550504633038945,0.010803438606031217,0.0
