model,split,accuracy_holding,accuracy_inside,accuracy_nextto,accuracy_ontop,accuracy_open,accuracy_reachable,holding_error,inside_error,nextto_error,ontop_error,open_error,reachable_error
InternVL3-78B,simple,0.87,0.73,0.5,0.75,0.41,0.72,0.03206527433504691,0.04873088132981716,0.02853650727676748,0.024713340236960125,0.05184378244088463,0.032153478098740015
InternVL3-78B,medium,0.76,0.95,0.45,0.86,0.75,0.73,0.018819531271568733,0.010789882697576053,0.009830663087679265,0.006856594314349202,0.037688918072220454,0.016591543918784007
InternVL3-78B,hard,0.95,0.94,0.4,0.86,0.7,0.92,0.01284252917285204,0.010599556481738368,0.010935331036276162,0.00774532341984034,0.039886201760873284,0.01311345175087131
InternVL3-8B,simple,0.73,0.76,0.53,0.67,0.36,0.68,0.03738813101006162,0.037897499553940825,0.022365169420615873,0.0210707357160223,0.05333333333333334,0.029681166754678433
InternVL3-8B,medium,0.67,0.85,0.45,0.65,0.36,0.75,0.022493324715358823,0.016000752994329428,0.008930930584692985,0.008562484783372465,0.0405674042269688,0.016520465011377244
InternVL3-8B,hard,0.82,0.52,0.4,0.61,0.67,0.75,0.020081799932391276,0.024524391595563185,0.011113970010196404,0.011065239559331917,0.03932116282809864,0.018430244519362142
Mistral-Small-3.1-24B-Instruct-2503,simple,0.77,0.67,0.44,0.69,0.43,0.65,0.04251050290390431,0.05192630800870243,0.029300794961329184,0.02730011295301517,0.05052845732851934,0.03307189138830738
Mistral-Small-3.1-24B-Instruct-2503,medium,0.59,0.89,0.46,0.79,0.4,0.73,0.02519738352454357,0.01959391662295854,0.009850444152422774,0.00805013586841862,0.04803844614152614,0.01800493353442182
Mistral-Small-3.1-24B-Instruct-2503,hard,0.7,0.84,0.59,0.79,0.81,0.4,0.0390094748802747,0.02412090756622109,0.01996289804081083,0.01653213136230656,0.03213854237578718,0.02668644172809153
Molmo-7B-D-0924,simple,0.99,0.95,0.49,0.8,0.45,0.63,0.007521398046336108,0.03535533905932739,0.023591739145345018,0.018877167127320345,0.05706644326895116,0.029602631461977908
Molmo-7B-D-0924,medium,0.72,0.92,0.56,0.87,0.77,0.59,0.02445852784960152,0.017548498248994952,0.011937760319988413,0.008087863366463758,0.0377918748734647,0.020783750520882553
Molmo-7B-D-0924,hard,0.96,0.9,0.75,0.87,0.36,0.56,0.006337772796238157,0.00850571965685614,0.006993177985805742,0.005431318212679731,0.022987830845307634,0.012604175824977623
Phi-4-multimodal-instruct,simple,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.19196353820452466,0.0
Phi-4-multimodal-instruct,medium,0.0,0.17,0.01,0.02,0.67,0.1,0.0,0.10843584893075414,0.003782374701361949,0.005322001448887939,0.19196353820452466,0.03779644730092273
Phi-4-multimodal-instruct,hard,0.22,0.26,0.02,0.27,0.64,0.05,0.07972173828734265,0.07878103587097104,0.014517323726225953,0.046036451195869535,0.14472544539732654,0.034460121880225555
Qwen2.5-VL-72B-Instruct,simple,0.9,0.82,0.65,0.8,0.53,0.54,0.019738550848793068,0.02772634126602355,0.018482196611647426,0.01549968516584257,0.03921293563338066,0.02384158242717079
Qwen2.5-VL-72B-Instruct,medium,0.87,0.95,0.66,0.86,0.59,0.58,0.0168362301782953,0.012732479764587554,0.012737973358931225,0.009330440621863473,0.03976236602157858,0.01924091385453006
Qwen2.5-VL-72B-Instruct,hard,0.92,0.97,0.66,0.82,0.76,0.68,0.011140676423071223,0.006393026397321848,0.007794046288853326,0.006321130161504266,0.024657656011875907,0.014825585310468514
Qwen2.5-VL-7B-Instruct,simple,0.84,0.84,0.55,0.83,0.49,0.61,0.03279024245107072,0.02944650699477866,0.02714050741709047,0.020492449248210334,0.039520564267226756,0.02984981132193395
Qwen2.5-VL-7B-Instruct,medium,0.72,0.98,0.52,0.9,0.67,0.65,0.016340742564206465,0.004656330736664177,0.007473380821256876,0.004487620025963285,0.02780426087988895,0.013986235710080078
Qwen2.5-VL-7B-Instruct,hard,0.61,0.96,0.46,0.75,0.45,0.58,0.011764115579072068,0.004413898072545964,0.004416307150122273,0.003836932073765897,0.019379603814476443,0.009514408483181618
aya-vision-32b,simple,0.88,0.85,0.66,0.82,0.51,0.62,0.02817773877382667,0.02730593406363751,0.02311462122306386,0.018746428231227717,0.040283089165644596,0.028955727649310897
aya-vision-32b,medium,0.86,0.93,0.58,0.88,0.82,0.74,0.015804826197093468,0.013466144487334165,0.008961948353941466,0.005900594280117545,0.034091123836116774,0.015715702718567266
aya-vision-32b,hard,0.87,0.8,0.59,0.92,0.8,0.52,0.018770627283022024,0.01835325870964494,0.013395933658228816,0.007389141122497925,0.02550306852253353,0.019215378456610456
aya-vision-8b,simple,0.62,0.7,0.47,0.92,0.47,0.67,0.04059005355444173,0.03281650616569468,0.02263959894364779,0.012306109426545293,0.04327738821633149,0.02805053903605995
aya-vision-8b,medium,0.52,0.72,0.57,0.9,0.45,0.59,0.030127003894120697,0.030271498746570782,0.011015290902348714,0.0066749123923497715,0.053336925166406965,0.023829401494516275
aya-vision-8b,hard,0.57,0.85,0.49,0.89,0.7,0.68,0.01970865449001164,0.01390952774409444,0.00775808360819064,0.004855821050370136,0.033421868239159595,0.016
deepseek-vl2,simple,0.72,0.79,0.61,0.76,0.53,0.74,0.04535573676110727,0.055948089147398794,0.029905867355013115,0.026186146828319084,0.05763101017102974,0.030125523560783483
deepseek-vl2,medium,0.67,0.97,0.51,0.83,0.61,0.8,0.020068189764828277,0.006348598990428855,0.008005832703166807,0.006015709962285936,0.0416712892812901,0.014133305066751466
deepseek-vl2,hard,0.42,0.85,0.61,0.86,0.88,0.34,0.02954857491605801,0.016907821842623117,0.013476017714262418,0.009586886718146037,0.024850429767895824,0.020713838309553843
gemma-3-12b-it,simple,0.64,0.83,0.37,0.83,0.58,0.71,0.04597566169061527,0.03833786205132815,0.029770989017367955,0.023162510683012852,0.04839739344538808,0.030250803478769142
gemma-3-12b-it,medium,0.55,0.97,0.38,0.69,0.7,0.59,0.026004413244615256,0.009865313716031495,0.012308990779884945,0.011728438519106583,0.03958742450708909,0.019689089781151806
gemma-3-12b-it,hard,0.48,0.89,0.38,0.84,0.38,0.41,0.02737790257761813,0.012397143540948546,0.012629826815491282,0.009539143602205973,0.030455854201090968,0.0187919846246049
gemma-3-27b-it,simple,0.83,0.73,0.61,0.91,0.43,0.5,0.0250421866279906,0.033560180486488955,0.018422060830690017,0.010808935913296278,0.04111380337047653,0.024723408821707437
gemma-3-27b-it,medium,0.64,0.97,0.39,0.89,0.69,0.81,0.022805488230987835,0.0074663998310284495,0.009125193886059238,0.005853777697834688,0.03238100387209615,0.014640539740724089
gemma-3-27b-it,hard,0.79,0.96,0.33,0.89,0.8,0.82,0.01689799303688751,0.008244064638872717,0.007507324998030356,0.004995537136503141,0.029095718698132315,0.013391932792263977
gpt-4.1,simple,0.87,0.68,0.6,0.81,0.52,0.66,0.030079893616833157,0.036097008352161924,0.023961691914926152,0.019188064472004936,0.04599189316921119,0.029664793948382652
gpt-4.1,medium,0.85,0.91,0.51,0.87,0.7,0.69,0.01570398315844165,0.012928374110570018,0.01017032106000475,0.006841996339321205,0.03396831102433787,0.016351605425767832
gpt-4.1,hard,0.92,0.78,0.55,0.85,0.63,0.64,0.010203030861234521,0.01767960140984318,0.006646852621199,0.004770715739627833,0.039290057384426445,0.015356560515623615
gpt-4.1-nano,simple,0.79,0.88,0.6,0.78,0.34,0.6,0.036875955114054615,0.031125670104425726,0.0257841025556124,0.021802437028639977,0.048859329125083076,0.03175536744149779
gpt-4.1-nano,medium,0.82,0.92,0.57,0.85,0.55,0.65,0.020109290431137437,0.014200135056274581,0.010223514848795372,0.0073736695160683844,0.038156026430187624,0.019343671615775205
gpt-4.1-nano,hard,0.71,0.78,0.58,0.73,0.53,0.62,0.027166023476784724,0.020046783689653704,0.013559094977312225,0.012196504293490494,0.03319958417481356,0.020348458269714337
llava-onevision-qwen2-72b-ov-hf,simple,0.86,0.5,0.66,0.87,0.27,0.59,0.0411797844565428,0.1336306209562122,0.03591176927434505,0.025495097567963927,0.06408002808988147,0.04416793465414591
llava-onevision-qwen2-72b-ov-hf,medium,0.95,0.94,0.63,0.94,0.61,0.67,0.011633040674201884,0.011979626470874603,0.01052063499432238,0.0051750001720412345,0.04064582799419066,0.020216023731851974
llava-onevision-qwen2-72b-ov-hf,hard,0.89,0.61,0.76,0.92,0.53,0.69,0.07178183320971517,0.09217607374708782,0.04381780460041329,0.027834094957538368,0.12886685635440429,0.07136425675964925
llava-onevision-qwen2-7b-ov-hf,simple,0.91,0.74,0.32,0.77,0.55,0.45,0.026803377634760487,0.0472991469513519,0.02720544163254419,0.024543450294955523,0.04560517440787952,0.03165476727916312
llava-onevision-qwen2-7b-ov-hf,medium,0.89,0.94,0.38,0.87,0.69,0.53,0.01762934062277006,0.01572795031314099,0.013364885588474935,0.009259955607993847,0.040408222275681915,0.020997260672578514
llava-onevision-qwen2-7b-ov-hf,hard,0.95,0.92,0.45,0.93,0.79,0.49,0.012710807442894424,0.01876574299216119,0.0116936021606566,0.005997236932849099,0.03798168895207497,0.023591739145345018
