model,split,success rate,cot,success rate error,accuracy
InternVL3 78B,simple,0.44,no,0.1,
InternVL3 78B,medium,0.44,no,0.1,
InternVL3 78B,hard,0.2,no,0.08,
InternVL3 8B,simple,0.16,no,0.07,
InternVL3 8B,medium,0.04,no,0.04,
InternVL3 8B,hard,0.04,no,0.04,
Mistral-Small-3.1 24B,simple,0.68,no,0.09,
Mistral-Small-3.1 24B,medium,0.32,no,0.09,
Mistral-Small-3.1 24B,hard,0.32,no,0.09,
Molmo 7B,simple,0.0,no,0.0,
Molmo 7B,medium,0.0,no,0.0,
Molmo 7B,hard,0.0,no,0.0,
Phi-4 Multimodal,simple,0.0,no,0.0,
Phi-4 Multimodal,medium,0.0,no,0.0,
Phi-4 Multimodal,hard,0.0,no,0.0,
Qwen2.5-VL 72B,simple,0.68,no,0.09,
Qwen2.5-VL 72B,medium,0.32,no,0.09,
Qwen2.5-VL 72B,hard,0.04,no,0.04,
Qwen2.5-VL 7B,simple,0.16,no,0.07,
Qwen2.5-VL 7B,medium,0.12,no,0.06,
Qwen2.5-VL 7B,hard,0.08,no,0.05,
AyaVision 32B,simple,0.36,no,0.1,
AyaVision 32B,medium,0.0,no,0.0,
AyaVision 32B,hard,0.0,no,0.0,
AyaVision 8B,simple,0.04,no,0.04,
AyaVision 8B,medium,0.0,no,0.0,
AyaVision 8B,hard,0.0,no,0.0,
DeepSeek-VL2,simple,0.0,no,0.0,
DeepSeek-VL2,medium,0.0,no,0.0,
DeepSeek-VL2,hard,0.0,no,0.0,
Gemma-3 12B,simple,0.64,no,0.1,
Gemma-3 12B,medium,0.04,no,0.04,
Gemma-3 12B,hard,0.2,no,0.08,
Gemma-3 27B,simple,0.92,no,0.05,
Gemma-3 27B,medium,0.32,no,0.09,
Gemma-3 27B,hard,0.28,no,0.09,
GPT-4.1,simple,0.88,no,0.06,
GPT-4.1,medium,0.52,no,0.1,
GPT-4.1,hard,0.36,no,0.1,
GPT-4.1 Nano,simple,0.08,no,0.05,
GPT-4.1 Nano,medium,0.04,no,0.04,
GPT-4.1 Nano,hard,0.0,no,0.0,
LLaVA-Onevision 72B,simple,0.0,no,0.0,
LLaVA-Onevision 72B,medium,0.0,no,0.0,
LLaVA-Onevision 72B,hard,0.0,no,0.0,
LLaVA-Onevision 7B,simple,0.0,no,0.0,
LLaVA-Onevision 7B,medium,0.0,no,0.0,
LLaVA-Onevision 7B,hard,0.0,no,0.0,
InternVL3 78B,simple,0.36,yes,0.1,
InternVL3 78B,medium,0.04,yes,0.04,
InternVL3 78B,hard,0.08,yes,0.05,
InternVL3 8B,simple,0.44,yes,0.1,
InternVL3 8B,medium,0.0,yes,0.0,
InternVL3 8B,hard,0.0,yes,0.0,
Mistral-Small-3.1 24B,simple,0.44,yes,0.1,
Mistral-Small-3.1 24B,medium,0.28,yes,0.09,
Mistral-Small-3.1 24B,hard,0.04,yes,0.04,
Molmo 7B,simple,0.0,yes,0.0,
Molmo 7B,medium,0.0,yes,0.0,
Molmo 7B,hard,0.0,yes,0.0,
Phi-4 Multimodal,simple,0.0,yes,0.0,
Phi-4 Multimodal,medium,0.0,yes,0.0,
Phi-4 Multimodal,hard,0.0,yes,0.0,
Qwen2.5-VL 72B,simple,0.44,yes,0.1,
Qwen2.5-VL 72B,medium,0.16,yes,0.07,
Qwen2.5-VL 72B,hard,0.32,yes,0.09,
Qwen2.5-VL 7B,simple,0.24,yes,0.09,
Qwen2.5-VL 7B,medium,0.0,yes,0.0,
Qwen2.5-VL 7B,hard,0.0,yes,0.0,
AyaVision 32B,simple,0.04,yes,0.04,
AyaVision 32B,medium,0.0,yes,0.0,
AyaVision 32B,hard,0.0,yes,0.0,
AyaVision 8B,simple,0.0,yes,0.0,
AyaVision 8B,medium,0.0,yes,0.0,
AyaVision 8B,hard,0.04,yes,0.04,
DeepSeek-VL2,simple,0.0,yes,0.0,
DeepSeek-VL2,medium,0.0,yes,0.0,
DeepSeek-VL2,hard,0.0,yes,0.0,
Gemma-3 12B,simple,0.48,yes,0.1,
Gemma-3 12B,medium,0.0,yes,0.0,
Gemma-3 12B,hard,0.0,yes,0.0,
Gemma-3 27B,simple,0.76,yes,0.09,
Gemma-3 27B,medium,0.16,yes,0.07,
Gemma-3 27B,hard,0.04,yes,0.04,
GPT-4.1,simple,0.6,yes,0.1,
GPT-4.1,medium,0.44,yes,0.1,
GPT-4.1,hard,0.32,yes,0.09,
GPT-4.1 Nano,simple,0.16,yes,0.07,
GPT-4.1 Nano,medium,0.04,yes,0.04,
GPT-4.1 Nano,hard,0.04,yes,0.04,
LLaVA-Onevision 72B,simple,0.0,yes,0.0,
LLaVA-Onevision 72B,medium,0.0,yes,0.0,
LLaVA-Onevision 72B,hard,0.0,yes,0.0,
LLaVA-Onevision 7B,simple,0.0,yes,0.0,
LLaVA-Onevision 7B,medium,0.0,yes,0.0,
LLaVA-Onevision 7B,hard,0.0,yes,0.0,
